well_position	broad_sample	solvent
G13	BRD-K01826724-003-07-9	DMSO
G14	BRD-K42191735-001-08-7	DMSO
G15	BRD-K10843433-001-23-5	DMSO
G16		DMSO
G17	BRD-K84266862-001-03-2	DMSO
G18	BRD-K81197548-003-03-9	DMSO
G19		DMSO
G20	BRD-K82818427-001-05-9	DMSO
G21	BRD-K24696047-001-02-3	DMSO
G22	BRD-K83896451-001-07-5	DMSO
G23	BRD-K24616672-003-19-3	DMSO
G24	BRD-K78122587-300-04-3	DMSO
H01	BRD-K72815923-034-01-2	DMSO
H02		DMSO
H03	BRD-K29791386-001-01-8	DMSO
H04	BRD-K58550667-001-12-9	DMSO
H05	BRD-K78126613-001-27-7	DMSO
H06		DMSO
H07	BRD-K63430059-001-16-4	DMSO
H08	BRD-K37764012-001-06-9	DMSO
H09		DMSO
H10	BRD-K11558771-001-16-9	DMSO
H11	BRD-K20986415-001-02-6	DMSO
H12	BRD-K59632282-052-03-1	DMSO
H13	BRD-K45746021-003-01-9	DMSO
H14	BRD-K15179513-001-04-2	DMSO
H15	BRD-K49350383-001-15-2	DMSO
H16	BRD-A63444178-001-01-5	DMSO
H17		DMSO
H18		DMSO
H19	BRD-K32292990-001-03-6	DMSO
H20	BRD-K03406345-001-18-7	DMSO
H21	BRD-K03406345-001-18-7	DMSO
H22		DMSO
H23	BRD-K56740996-001-01-3	DMSO
H24	BRD-A10188456-001-04-9	DMSO
I01	BRD-K59831625-001-03-9	DMSO
I02		DMSO
I03	BRD-A24122750-001-03-7	DMSO
I04	BRD-K26514105-001-02-9	DMSO
I05	BRD-K76037122-001-02-5	DMSO
I06	BRD-K30177383-001-02-9	DMSO
I07	BRD-K29530284-001-06-2	DMSO
I08	BRD-K32821942-001-21-3	DMSO
I09		DMSO
I10		DMSO
I11	BRD-K50055394-001-03-6	DMSO
I12	BRD-K42352790-001-11-9	DMSO
I13	BRD-K91822704-003-07-2	DMSO
I14	BRD-K90497590-001-07-5	DMSO
I15		DMSO
I16	BRD-K90747162-001-02-9	DMSO
I17	BRD-K74514084-003-09-2	DMSO
I18	BRD-K93779381-001-02-9	DMSO
I19	BRD-K61918008-001-07-1	DMSO
I20		DMSO
I21	BRD-K36660044-001-24-2	DMSO
I22	BRD-K67637637-003-12-6	DMSO
I23	BRD-K66788707-001-17-6	DMSO
I24	BRD-K18131774-001-18-4	DMSO
J01	BRD-K87632963-001-05-9	DMSO
J02	BRD-K58049875-001-03-9	DMSO
J03	BRD-K41599323-001-03-1	DMSO
J04		DMSO
J05	BRD-K77627880-001-04-0	DMSO
J06	BRD-K16810791-001-01-0	DMSO
J07	BRD-K07881437-001-03-8	DMSO
J08	BRD-K44227013-001-15-9	DMSO
J09	BRD-K80935598-001-01-1	DMSO
J10	BRD-K01825690-065-01-9	DMSO
J11	BRD-K73789395-001-09-9	DMSO
J12		DMSO
J13	BRD-K28132190-001-02-0	DMSO
J14	BRD-K07881437-001-03-8	DMSO
J15	BRD-K43236057-001-07-1	DMSO
J16	BRD-A93477898-001-04-2	DMSO
J17	BRD-K36016295-001-05-2	DMSO
J18	BRD-K23913458-001-20-7	DMSO
J19	BRD-K22149900-001-05-4	DMSO
J20	BRD-K64890080-001-14-9	DMSO
J21	BRD-K24282351-001-02-9	DMSO
J22	BRD-K53972329-001-12-9	DMSO
J23	BRD-K09787262-001-03-9	DMSO
J24	BRD-K80451230-051-02-6	DMSO
K01	BRD-K50199947-001-07-9	DMSO
K02	BRD-K38775274-001-22-1	DMSO
K03	BRD-K09295674-001-09-8	DMSO
K04	BRD-A18763547-300-05-5	DMSO
K05	BRD-K71106091-001-09-5	DMSO
K06		DMSO
K07		DMSO
K08	BRD-K36055864-001-19-2	DMSO
K09	BRD-K37864785-001-01-0	DMSO
K10	BRD-K36740062-001-07-9	DMSO
K11	BRD-K97181089-003-24-7	DMSO
K12	BRD-K89517477-001-03-9	DMSO
K13	BRD-K59325863-001-04-4	DMSO
K14		DMSO
K15	BRD-K25311561-001-10-7	DMSO
K16	BRD-A31564021-001-01-8	DMSO
K17	BRD-A37704979-001-12-3	DMSO
K18	BRD-A65597028-003-09-9	DMSO
K19	BRD-K61642990-001-01-0	DMSO
K20	BRD-A74391928-051-04-9	DMSO
K21	BRD-K53234107-001-01-6	DMSO
K22	BRD-K03601870-001-02-9	DMSO
K23	BRD-K09143580-001-02-9	DMSO
K24		DMSO
L01	BRD-K06890060-001-10-9	DMSO
L02	BRD-K50398167-236-22-7	DMSO
L03		DMSO
L04	BRD-K13533483-001-16-2	DMSO
L05	BRD-K81405859-300-01-4	DMSO
L06	BRD-K61397605-001-09-9	DMSO
L07	BRD-A69651145-003-11-4	DMSO
L08	BRD-K73319509-001-12-9	DMSO
L09	BRD-K91370081-001-25-1	DMSO
L10		DMSO
L11	BRD-K55966568-001-09-6	DMSO
L12	BRD-K76792669-001-08-1	DMSO
L13		DMSO
L14	BRD-K48722258-300-11-0	DMSO
L15	BRD-K21728777-001-02-3	DMSO
L16	BRD-K70778732-003-27-5	DMSO
L17	BRD-A72483914-001-03-7	DMSO
L18	BRD-K91456750-001-01-9	DMSO
L19	BRD-K25412176-001-04-9	DMSO
L20	BRD-K25412176-001-04-9	DMSO
L21	BRD-K64054020-001-04-9	DMSO
L22	BRD-K38852836-001-04-9	DMSO
L23		DMSO
L24	BRD-K61250553-003-30-6	DMSO
M01	BRD-K16730910-001-12-9	DMSO
M02	BRD-K01666412-001-02-0	DMSO
M03		DMSO
M04	BRD-K50836978-001-04-9	DMSO
M05	BRD-K26989966-001-04-3	DMSO
M06	BRD-K51265828-001-02-9	DMSO
M07	BRD-K49223707-001-01-0	DMSO
M08	BRD-K52960356-001-15-5	DMSO
M09	BRD-A91822151-001-05-0	DMSO
M10		DMSO
M11	BRD-K37764012-001-06-9	DMSO
M12	BRD-K54330070-001-15-4	DMSO
M13		DMSO
M14	BRD-K60476892-001-17-9	DMSO
M15	BRD-K23363278-001-02-1	DMSO
M16	BRD-K80666802-003-02-9	DMSO
M17	BRD-K51662849-001-05-4	DMSO
M18		DMSO
M19	BRD-K33882852-003-04-9	DMSO
M20	BRD-K86930074-001-06-9	DMSO
M21		DMSO
M22	BRD-K12502280-001-16-9	DMSO
